Circuit delay: 2364.17 ps

Gate slacks:
INPUT-n198: 2370.82 ps
NAND-n199: 2600.59 ps
INPUT-n200: 2370.82 ps
NAND-n201: 2600.59 ps
INPUT-n202: 2370.82 ps
NAND-n203: 2600.59 ps
INPUT-n204: 2370.82 ps
NAND-n205: 2600.59 ps
INPUT-n206: 2370.82 ps
NAND-n207: 2600.59 ps
INPUT-n208: 2370.82 ps
NAND-n209: 2600.59 ps
INPUT-n210: 2370.82 ps
NAND-n211: 2600.59 ps
INPUT-n212: 2534.45 ps
NAND-n213: 2600.59 ps
INPUT-n214: 2534.45 ps
NAND-n215: 2600.59 ps
INPUT-n216: 2534.45 ps
NAND-n217: 2600.59 ps
INPUT-n218: 2534.45 ps
NAND-n219: 2600.59 ps
INPUT-n220: 2534.45 ps
NAND-n221: 2600.59 ps
INPUT-n222: 2534.45 ps
NAND-n223: 2600.59 ps
INPUT-n224: 2534.45 ps
NAND-n225: 2600.59 ps
INPUT-n226: 2545.48 ps
NAND-n227: 2600.59 ps
INPUT-n228: 2387.24 ps
NAND-n229: 2600.59 ps
INPUT-n230: 2387.24 ps
NAND-n231: 2600.59 ps
INPUT-n232: 2387.24 ps
NAND-n233: 2600.59 ps
INPUT-n234: 2387.24 ps
NAND-n235: 2600.59 ps
INPUT-n236: 2387.24 ps
NAND-n237: 2600.59 ps
INPUT-n238: 2387.24 ps
NAND-n239: 2600.59 ps
INPUT-n240: 2387.24 ps
NAND-n241: 2600.59 ps
INPUT-n242: 2387.24 ps
NAND-n243: 2600.59 ps
INPUT-n244: 2414.11 ps
NAND-n245: 2600.59 ps
INPUT-n246: 2414.11 ps
NAND-n247: 2600.59 ps
INPUT-n248: 2414.11 ps
NAND-n249: 2600.59 ps
INPUT-n250: 2414.11 ps
NAND-n251: 2600.59 ps
INPUT-n252: 2414.11 ps
NAND-n253: 2600.59 ps
INPUT-n254: 2414.11 ps
NAND-n255: 2600.59 ps
INPUT-n256: 2414.11 ps
NAND-n257: 2600.59 ps
INPUT-n258: 2414.11 ps
NAND-n259: 2600.59 ps
INPUT-n260: 2371.44 ps
NAND-n261: 2600.59 ps
INPUT-n262: 2371.44 ps
NAND-n263: 2600.59 ps
INPUT-n264: 2371.44 ps
NAND-n265: 2600.59 ps
INPUT-n266: 2371.44 ps
NAND-n267: 2600.59 ps
INPUT-n268: 2371.44 ps
NAND-n269: 2600.59 ps
INPUT-n270: 2371.44 ps
NAND-n271: 2600.59 ps
INPUT-n272: 2371.44 ps
NAND-n273: 2600.59 ps
INPUT-n274: 2371.44 ps
NAND-n275: 2600.59 ps
INPUT-n276: 2535.04 ps
NAND-n277: 2600.59 ps
INPUT-n278: 2535.04 ps
NAND-n279: 2600.59 ps
INPUT-n280: 2535.04 ps
NAND-n281: 2600.59 ps
INPUT-n282: 2535.04 ps
NAND-n283: 2600.59 ps
INPUT-n284: 2535.04 ps
NAND-n285: 2600.59 ps
INPUT-n286: 2535.04 ps
NAND-n287: 2600.59 ps
INPUT-n288: 2535.04 ps
NAND-n289: 2600.59 ps
INPUT-n290: 2545.95 ps
NAND-n291: 2600.59 ps
INPUT-n292: 2387.67 ps
NAND-n293: 2600.59 ps
INPUT-n294: 2387.67 ps
NAND-n295: 2600.59 ps
INPUT-n296: 2387.67 ps
NAND-n297: 2600.59 ps
INPUT-n298: 2387.67 ps
NAND-n299: 2600.59 ps
INPUT-n300: 2387.67 ps
NAND-n301: 2600.59 ps
INPUT-n302: 2387.67 ps
NAND-n303: 2600.59 ps
INPUT-n304: 2387.67 ps
NAND-n305: 2600.59 ps
INPUT-n306: 2387.67 ps
NAND-n307: 2600.59 ps
INPUT-n308: 2414.54 ps
NAND-n309: 2600.59 ps
INPUT-n310: 2414.54 ps
NAND-n311: 2600.59 ps
INPUT-n312: 2414.54 ps
NAND-n313: 2600.59 ps
INPUT-n314: 2414.54 ps
NAND-n315: 2600.59 ps
INPUT-n316: 2414.54 ps
NAND-n317: 2600.59 ps
INPUT-n318: 2414.54 ps
NAND-n319: 2600.59 ps
INPUT-n320: 2414.54 ps
NAND-n321: 2600.59 ps
INPUT-n322: 2414.54 ps
NAND-n323: 2600.59 ps
INPUT-n324: 1991.09 ps
NAND-n325: 2600.59 ps
INPUT-n326: 1991.09 ps
NAND-n327: 2107.64 ps
INPUT-n328: 1991.09 ps
NAND-n329: 2600.59 ps
INPUT-n330: 1991.09 ps
NAND-n331: 1933.59 ps
INPUT-n332: 583.71 ps
NAND-n333: 2600.59 ps
INPUT-n334: 583.71 ps
NAND-n335: 2600.59 ps
INPUT-n336: 583.71 ps
NAND-n337: 2600.59 ps
INPUT-n338: 583.71 ps
NAND-n339: 2600.59 ps
INPUT-n340: 583.71 ps
NAND-n341: 2600.59 ps
INPUT-n342: 583.71 ps
NAND-n343: 2600.59 ps
INPUT-n344: 583.71 ps
NAND-n345: 2600.59 ps
INPUT-n346: 583.71 ps
NAND-n347: 2600.59 ps
INPUT-n348: 583.71 ps
NAND-n349: 2600.59 ps
INPUT-n350: 583.71 ps
NAND-n351: 2600.59 ps
INPUT-n352: 583.71 ps
NAND-n353: 2600.59 ps
INPUT-n354: 583.71 ps
NAND-n355: 2600.59 ps
INPUT-n356: 583.71 ps
NAND-n357: 2600.59 ps
INPUT-n358: 583.71 ps
NAND-n359: 2600.59 ps
INPUT-n360: 583.71 ps
NAND-n361: 2600.59 ps
INPUT-n362: 583.71 ps
NAND-n363: 2600.59 ps
INPUT-n364: 583.71 ps
NAND-n365: 2600.59 ps
INPUT-n366: 583.71 ps
NAND-n367: 2600.59 ps
INPUT-n368: 583.71 ps
NAND-n369: 2600.59 ps
INPUT-n370: 583.71 ps
NAND-n371: 2600.59 ps
INPUT-n372: 583.71 ps
NAND-n373: 2600.59 ps
INPUT-n374: 583.71 ps
NAND-n375: 2600.59 ps
INPUT-n376: 583.71 ps
NAND-n377: 2600.59 ps
INPUT-n378: 583.71 ps
NAND-n379: 2600.59 ps
INPUT-n380: 583.71 ps
NAND-n381: 2600.59 ps
INPUT-n382: 583.71 ps
NAND-n383: 2600.59 ps
INPUT-n384: 583.71 ps
NAND-n385: 2600.59 ps
INPUT-n386: 583.71 ps
NAND-n387: 2600.59 ps
INPUT-n388: 660.11 ps
NAND-n389: 2600.59 ps
INPUT-n390: 1169.35 ps
NAND-n391: 2600.59 ps
INPUT-n392: 1219.67 ps
NAND-n393: 2600.59 ps
INPUT-n394: 558.02 ps
NAND-n395: 2600.59 ps
INPUT-n396: 1943.93 ps
NAND-n397: 2600.59 ps
INPUT-n398: 1957.34 ps
NAND-n399: 2600.59 ps
