Circuit delay: 0.00 ps

Gate slacks:
NAND-n214: -1.65 ps
INPUT-n215: -0.69 ps
NAND-n216: -1.68 ps
INPUT-n217: -0.66 ps
NAND-n218: -1.64 ps
INPUT-n219: -1.28 ps
NAND-n220: -0.75 ps
INPUT-n221: -1.28 ps
NAND-n222: -0.75 ps
INPUT-n223: -1.32 ps
NAND-n224: -0.75 ps
INPUT-n225: -1.33 ps
NAND-n226: -0.75 ps
INPUT-n227: -1.34 ps
NAND-n228: -0.75 ps
INPUT-n229: -1.34 ps
NAND-n230: -0.75 ps
INPUT-n231: -1.38 ps
NAND-n232: -0.77 ps
INPUT-n233: -1.06 ps
NAND-n234: -0.75 ps
INPUT-n235: -1.28 ps
NAND-n236: -0.75 ps
INPUT-n237: -1.28 ps
NAND-n238: -0.75 ps
INPUT-n239: -1.32 ps
NAND-n240: -0.75 ps
INPUT-n241: -1.33 ps
NAND-n242: -0.75 ps
INPUT-n243: -1.34 ps
NAND-n244: -0.75 ps
INPUT-n245: -1.34 ps
NAND-n246: -0.75 ps
INPUT-n247: -1.38 ps
NAND-n248: -0.77 ps
INPUT-n249: -1.06 ps
NAND-n250: -0.75 ps
INPUT-n251: -1.28 ps
NAND-n252: -0.75 ps
INPUT-n253: -1.28 ps
NAND-n254: -0.75 ps
INPUT-n255: -1.32 ps
NAND-n256: -0.75 ps
INPUT-n257: -1.33 ps
NAND-n258: -0.75 ps
INPUT-n259: -1.34 ps
NAND-n260: -0.75 ps
INPUT-n261: -1.34 ps
NAND-n262: -0.75 ps
INPUT-n263: -1.38 ps
NAND-n264: -0.77 ps
INPUT-n265: -1.06 ps
NAND-n266: -0.75 ps
INPUT-n267: -1.28 ps
NAND-n268: -0.75 ps
INPUT-n269: -1.28 ps
NAND-n270: -0.75 ps
INPUT-n271: -1.32 ps
NAND-n272: -0.75 ps
INPUT-n273: -1.33 ps
NAND-n274: -0.75 ps
INPUT-n275: -1.34 ps
NAND-n276: -0.75 ps
INPUT-n277: -1.34 ps
NAND-n278: -0.75 ps
INPUT-n279: -1.38 ps
NAND-n280: -0.77 ps
INPUT-n281: -1.06 ps
NAND-n282: -0.75 ps
INPUT-n283: -1.28 ps
NAND-n284: -0.75 ps
INPUT-n285: -1.28 ps
NAND-n286: -0.75 ps
INPUT-n287: -1.32 ps
NAND-n288: -0.75 ps
INPUT-n289: -1.33 ps
NAND-n290: -0.75 ps
INPUT-n291: -1.34 ps
NAND-n292: -0.75 ps
INPUT-n293: -1.34 ps
NAND-n294: -0.75 ps
INPUT-n295: -1.38 ps
NAND-n296: -0.77 ps
INPUT-n297: -1.06 ps
NAND-n298: -0.75 ps
INPUT-n299: -1.28 ps
NAND-n300: -0.75 ps
INPUT-n301: -1.28 ps
NAND-n302: -0.75 ps
INPUT-n303: -1.32 ps
NAND-n304: -0.75 ps
INPUT-n305: -1.33 ps
NAND-n306: -0.75 ps
INPUT-n307: -1.34 ps
NAND-n308: -0.75 ps
INPUT-n309: -1.34 ps
NAND-n310: -0.75 ps
INPUT-n311: -1.38 ps
NAND-n312: -0.77 ps
INPUT-n313: -1.06 ps
NAND-n314: -0.75 ps
INPUT-n315: -1.28 ps
NAND-n316: -0.75 ps
INPUT-n317: -1.28 ps
NAND-n318: -0.75 ps
INPUT-n319: -1.32 ps
NAND-n320: -0.75 ps
INPUT-n321: -1.33 ps
NAND-n322: -0.75 ps
INPUT-n323: -1.34 ps
NAND-n324: -0.75 ps
INPUT-n325: -1.34 ps
NAND-n326: -0.75 ps
INPUT-n327: -1.38 ps
NAND-n328: -0.77 ps
INPUT-n329: -1.06 ps
NAND-n330: -0.75 ps
INPUT-n331: -1.28 ps
NAND-n332: -0.75 ps
INPUT-n333: -1.28 ps
NAND-n334: -0.75 ps
INPUT-n335: -1.32 ps
NAND-n336: -0.75 ps
INPUT-n337: -1.33 ps
NAND-n338: -0.75 ps
INPUT-n339: -1.34 ps
NAND-n340: -0.75 ps
INPUT-n341: -1.34 ps
NAND-n342: -0.75 ps
INPUT-n343: -1.38 ps
NAND-n344: -0.77 ps
INPUT-n345: -1.06 ps
NAND-n346: -0.75 ps
INPUT-n347: -1.28 ps
NAND-n348: -0.81 ps
INPUT-n349: -1.28 ps
NAND-n350: -0.81 ps
INPUT-n351: -1.32 ps
NAND-n352: -0.81 ps
INPUT-n353: -1.33 ps
NAND-n354: -0.81 ps
INPUT-n355: -1.34 ps
NAND-n356: -0.81 ps
INPUT-n357: -1.34 ps
NAND-n358: -0.81 ps
INPUT-n359: -1.38 ps
NAND-n360: -0.81 ps
